Gulbodin_Naib 4 49 70
N_Madziva 10 57 113
D_Wiese 6 102 118
D_Mohammed 1 0 2
AC_Evans 6 70 91
Aizaz_Cheema 6 26 45
Mohammad_Tauqir 7 34 83
DR_Martyn 7 312 479
Raees_Ahmadzai 1 39 44
Sohaib_Maqsood 25 735 905
ADS_Fletcher 16 216 345
Rahmat_Shah 3 38 69
LE_Bosman 12 301 318
JWA_Taylor 26 887 1126
DCC_Borden 4 23 84
HMCM_Bandara 7 86 107
Karim_Sadiq 9 219 278
G_Chapple 1 14 7
LMP_Simmons 63 1883 2651
KED_Carroll 3 28 42
CB_Mpofu 22 23 105
Soumya_Sarkar 16 692 698
A_Codrington 1 5 7
MO_Jones 6 58 72
EC_Joyce 47 1485 2142
CD_Cumming 1 0 6
Mushfiqur_Rahim 131 3681 4816
Mohammad_Ashraful 84 1763 2650
Sohag_Gazi 16 184 215
SC_Meaker 2 2 18
AR_Cusack 24 262 431
Iftikhar_Anjum 22 157 264
Hong_Kong_avg 39 652 1046
TS_Chisoro 5 27 49
Farhad_Reza 25 316 522
R_Flannigan 1 0 2
NR_Kumar 10 158 284
TD_Paine 23 636 967
PJ_Moor 7 180 290
BW_Hilfenhaus 9 29 71
KA_Pollard 76 1908 2127
Kamran_Hussain 1 28 21
MJ_Henry 9 86 83
CT_Mutombodzi 6 81 114
N_Fernandes 1 5 13
SR_Watson 133 5035 5542
NLTC_Perera 78 1153 1083
SO_Ngoche 5 37 45
R_McLaren 39 472 681
KJ_Abbott 10 70 113
VR_Aaron 2 6 12
JC_Buttler 61 1798 1550
N_Dickwella 1 4 10
MKDI_Amerasinghe 3 5 7
KM_Dabengwa 21 352 597
Arshad_Ali 2 47 90
GC_Smith 103 3535 4370
A_Symonds 43 1379 1505
Bilal_Asif 3 40 52
Abul_Hasan 2 4 9
Inzamam-ul-Haq 12 324 455
MM_Sharma 8 30 53
CJ_Smith 5 27 48
T_Muzarabani 5 6 29
MEK_Hussey 122 4099 4913
L_Vincent 18 546 787
AM_Phangiso 9 66 106
JDP_Oram 49 1234 1283
VVS_Laxman 1 0 1
MJ_McClenaghan 13 105 137
Asghar_Stanikzai 26 529 850
SS_Tiwary 2 49 57
NM_Coulter-Nile 7 60 86
MAA_Jamil 1 3 10
RJ_Harris 8 27 39
DJ_Bravo 104 2444 3016
Azhar_Mahmood 2 3 27
J_Nyumbu 14 46 92
Shamsur_Rahman 10 266 359
BJ_Hodge 15 496 530
DJ_Willey 7 58 67
P_Connell 1 0 1
HM_Amla 121 5915 6805
VB_van_Jaarsveld 2 9 16
AR_McBrine 4 46 49
B_Kumar 27 203 284
PA_Browne 5 134 183
GJ_Bailey 63 2254 2633
Mohammad_Iqbal 2 33 56
PJ_Ingram 7 193 239
H_Osinde 8 11 34
JP_Bray 9 119 233
Umair_Ali 1 10 11
R_Dravid 44 1282 1743
PL_Mommsen 18 444 611
RR_Rossouw 27 860 927
