Australia Kenya SR_Watson BJ_Haddin RT_Ponting MJ_Clarke CL_White MEK_Hussey SPD_Smith MG_Johnson Australia_avg Australia_avg Australia_avg MJ_Clarke SPD_Smith SR_Watson JJ_Krejza B_Lee MA_Ouma AA_Obanda CO_Obuya DO_Obuya T_Mishra TM_Odoyo RR_Patel Kenya_avg Kenya_avg Kenya_avg Kenya_avg CO_Obuya E_Otieno JO_Ngoche TM_Odoyo JK_Kamande 1
Sri_Lanka Scotland HDRL_Thirimanne TM_Dilshan KC_Sangakkara DPMD_Jayawardene MDKJ_Perera AD_Mathews NLTC_Perera S_Prasanna KMDN_Kulasekara SL_Malinga PVD_Chameera TM_Dilshan KMDN_Kulasekara NLTC_Perera PVD_Chameera S_Prasanna KJ_Coetzer MW_Machan CS_MacLeod PL_Mommsen FRJ_Coleman RD_Berrington MA_Leask MH_Cross RML_Taylor AC_Evans JH_Davey MW_Machan KJ_Coetzer RD_Berrington MA_Leask JH_Davey 1
Bangladesh Zimbabwe Tamim_Iqbal Junaid_Siddique Mohammad_Ashraful Shakib_Al_Hasan Raqibul_Hasan Naeem_Islam Mushfiqur_Rahim Mahmudullah Enamul_Haque_jnr Nazmul_Hossain Bangladesh_avg Naeem_Islam Mahmudullah Nazmul_Hossain Shakib_Al_Hasan Syed_Rasel MA_Vermeulen H_Masakadza CK_Coventry CJ_Chibhabha BRM_Taylor SC_Williams S_Matsikenyeri P_Utseya E_Chigumbura RW_Price EC_Rainsford SC_Williams H_Masakadza S_Matsikenyeri CJ_Chibhabha RW_Price 1
India Bangladesh G_Gambhir SR_Tendulkar V_Kohli SK_Raina RG_Sharma MS_Dhoni RA_Jadeja India_avg India_avg India_avg India_avg RG_Sharma AB_Dinda RA_Jadeja SK_Raina IK_Pathan Tamim_Iqbal Nazimuddin Jahurul_Islam Nasir_Hossain Shakib_Al_Hasan Mushfiqur_Rahim Mahmudullah Bangladesh_avg Bangladesh_avg Bangladesh_avg Bangladesh_avg Nasir_Hossain Mahmudullah Shafiul_Islam Mashrafe_Mortaza Abdur_Razzak 0
Bangladesh Sri_Lanka Anamul_Haque Shamsur_Rahman Mominul_Haque Mushfiqur_Rahim Shakib_Al_Hasan Nasir_Hossain Mahmudullah Ziaur_Rahman Arafat_Sunny Rubel_Hossain Al-Amin_Hossain Rubel_Hossain Mahmudullah Arafat_Sunny Ziaur_Rahman Al-Amin_Hossain MDKJ_Perera KC_Sangakkara HDRL_Thirimanne DPMD_Jayawardene SMA_Priyanjan AD_Mathews PC_de_Silva NLTC_Perera SMSM_Senanayake Sri_Lanka_avg Sri_Lanka_avg SMA_Priyanjan NLTC_Perera BAW_Mendis PC_de_Silva RAS_Lakmal 0
Sri_Lanka Pakistan WU_Tharanga TM_Dilshan LD_Chandimal KC_Sangakkara LPC_Silva AD_Mathews BMAJ_Mendis NLTC_Perera S_Prasanna SL_Malinga Sri_Lanka_avg TM_Dilshan AD_Mathews BMAJ_Mendis NLTC_Perera S_Prasanna Mohammad_Hafeez Asad_Shafiq Younis_Khan Misbah-ul-Haq Shoaib_Malik Umar_Akmal Shahid_Afridi Sohail_Tanvir Pakistan_avg Pakistan_avg Pakistan_avg Junaid_Khan Shoaib_Malik Umar_Gul Sohail_Tanvir Mohammad_Hafeez 0
New_Zealand Australia SP_Fleming NJ_Astle HJH_Marshall LRPL_Taylor PG_Fulton CD_McMillan BB_McCullum DL_Vettori JEC_Franklin MR_Gillespie MJ_Mason NJ_Astle CD_McMillan DL_Vettori JEC_Franklin MJ_Mason AC_Gilchrist ML_Hayden MJ_Clarke RT_Ponting A_Symonds MEK_Hussey CL_White B_Lee NW_Bracken SR_Clark Australia_avg CL_White NW_Bracken A_Symonds GD_McGrath SR_Clark 0
Kenya Canada MA_Ouma CO_Obuya SR_Waters DO_Obuya SO_Tikolo T_Mishra JK_Kamande TM_Odoyo NN_Odhiambo E_Otieno JO_Ngoche CO_Obuya SO_Tikolo TM_Odoyo JK_Kamande E_Otieno R_Gunasekera Rizwan_Cheema ZE_Surkari A_Bagai AS_Hansra TG_Gordon JM_Davison Canada_avg Canada_avg Canada_avg Canada_avg PA_Desai AS_Hansra JM_Davison Rizwan_Cheema WD_Balaji_Rao 0
Pakistan Sri_Lanka Sharjeel_Khan Ahmed_Shehzad Mohammad_Hafeez Sohaib_Maqsood Misbah-ul-Haq Shahid_Afridi Umar_Akmal Pakistan_avg Pakistan_avg Pakistan_avg Pakistan_avg Mohammad_Hafeez Umar_Gul Bilawal_Bhatti Shahid_Afridi Junaid_Khan MDKJ_Perera TM_Dilshan FDM_Karunaratne KC_Sangakkara LD_Chandimal AD_Mathews KMDN_Kulasekara S_Prasanna NLTC_Perera SMSM_Senanayake SL_Malinga AD_Mathews S_Prasanna NLTC_Perera KMDN_Kulasekara SL_Malinga 1
West_Indies South_Africa DM_Richards CH_Gayle S_Chanderpaul DJ_Bravo DM_Bravo KA_Pollard DJG_Sammy DE_Bernard West_Indies_avg West_Indies_avg West_Indies_avg SJ_Benn DE_Bernard DJ_Bravo DJG_Sammy R_Rampaul GC_Smith HM_Amla JH_Kallis AB_de_Villiers JP_Duminy South_Africa_avg South_Africa_avg South_Africa_avg South_Africa_avg South_Africa_avg South_Africa_avg JP_Duminy JH_Kallis LL_Tsotsobe CK_Langeveldt M_Morkel 0
