Sohag_Gazi 18 729 23 929
SC_Meaker 2 113 2 117
AR_Cusack 28 897 35 1067
TS_Chisoro 6 192 9 282
Farhad_Reza 25 793 15 830
NR_Kumar 2 67 2 67
KA_Pollard 55 1540 44 1671
MJ_Henry 22 1107 49 1250
CT_Mutombodzi 4 123 4 151
SR_Watson 117 3905 132 4608
NLTC_Perera 100 3768 131 3967
SO_Ngoche 5 217 6 260
R_McLaren 49 2067 82 2447
KJ_Abbott 23 894 27 1106
VR_Aaron 8 374 10 360
KM_Dabengwa 21 574 15 643
Arshad_Ali 2 101 1 96
GC_Smith 12 281 9 329
A_Symonds 33 813 20 933
Bilal_Asif 3 96 5 133
Abul_Hasan 6 220 0 197
Kabir_Ali 2 154 0 105
T_Muzarabani 6 235 9 274
MEK_Hussey 5 80 0 65
L_Vincent 2 22 1 18
AM_Phangiso 16 675 20 885
JDP_Oram 65 2068 80 2914
MJ_McClenaghan 41 2095 85 2228
Asghar_Stanikzai 2 40 1 43
NM_Coulter-Nile 13 588 22 666
MAA_Jamil 6 211 9 237
RJ_Harris 20 853 46 1051
DJ_Bravo 107 4281 156 4804
Azhar_Mahmood 3 74 1 97
MC_Henriques 5 159 7 208
Shamsur_Rahman 1 13 0 6
AG_Cremer 48 1839 53 2216
DJ_Willey 12 534 18 563
P_Connell 1 37 0 31
Parvez_Rasool 1 60 2 61
B_Kumar 56 2308 64 2825
DSNFG_Jayasuriya 2 26 1 30
RE_van_der_Merwe 13 575 17 719
H_Osinde 17 543 25 739
Umair_Ali 1 66 0 62
LJ_Woodcock 4 156 3 166
Taijul_Islam 2 69 4 102
RP_Singh 39 1655 51 1827
B_Geeves 2 79 3 95
GA_Rogers 4 138 5 154
SHT_Kandamby 9 175 2 177
SB_Styris 50 1367 34 1675
N_Mushangwe 4 165 2 219
H_Durham 1 48 2 62
TLW_Cooper 10 214 8 251
SM_Boland 6 385 6 353
Fawad_Alam 13 379 6 402
JJ_van_der_Wath 3 157 6 157
NM_Carter 1 56 1 61
Nasir_Hossain 34 721 19 941
Skhawat_Ali 1 71 0 49
AL_Kandappah 1 4 0 1
Yuvraj_Singh 91 2626 77 3055
Mohammad_Nabi 33 1208 31 1561
EHSN_Silva 1 33 0 42
Tushar_Imran 1 17 0 18
Sharafuddin_Ashraf 4 154 5 213
DS_Smith 2 17 0 18
SW_Masakadza 15 857 27 798
RP_Arnold 4 56 3 74
J_Louw 1 50 0 44
MS_Dhoni 2 32 1 38
TM_Dilshan 141 3290 81 4031
N_Dutta 1 31 0 38
AO_Suji 1 15 0 19
Fayyaz_Ahmed 2 68 0 102
JN_Mohammed 1 25 0 36
A_Shahzad 9 415 15 509
S_Prasanna 25 1115 24 1262
SCJ_Broad 112 5154 189 5908
S_Weerakoon 1 49 1 61
Danish_Kaneria 2 93 4 81
Saad_Nasim 2 46 0 37
Nadeem_Ahmed 4 171 6 181
Mohammad_Asif 21 975 28 1162
WW_Hinds 2 69 2 72
A_Balbirnie 2 42 1 30
JJ_Bumrah 1 47 2 60
NM_Hauritz 47 1883 56 2372
Z_Khan 86 3850 141 4622
DJ_Reekers 4 133 3 143
PA_Desai 4 115 6 181
A_Kumble 7 296 9 387
AJ_McKay 19 819 28 973
Shahadat_Hossain 31 1515 28 1500
SR_Thompson 7 215 9 234
BP_Loots 5 227 2 188
Tanwir_Afzal 2 73 3 115
ML_Nkala 1 11 0 18
DT_Tiripano 6 273 11 285
Aizaz_Khan 1 35 1 35
SS_Cottrell 2 107 2 83
ML_Cummins 1 42 1 40
SW_Tait 33 1510 65 1803
BP_Kruger 1 23 0 21
Rahmat_Shah 3 81 5 65
R_Ashwin 96 4330 145 5378
SA_Abbott 1 25 1 30
Soumya_Sarkar 2 32 0 43
JS_Paris 2 93 1 98
PR_Stirling 32 955 24 1246
JH_Stander 3 107 4 105
CL_White 15 305 11 293
YK_Pathan 49 1358 37 1499
VJ_Kingma 1 11 0 12
CK_Hooper 2 89 1 72
Imran_Farhat 1 21 1 30
AU_Rashid 24 1214 29 1237
Gulbadin_Naib 7 227 5 215
AC_Cummins 4 181 4 203
T_van_der_Gugten 2 40 5 80
AM_Nayar 1 17 0 20
Amjad_Javed 8 392 9 374
Mashrafe_Mortaza 101 4102 140 4997
AS_Luseno 1 32 4 43
CD_McMillan 14 318 12 339
RML_Taylor 10 414 11 462
R_Telemachus 1 36 2 49
MA_Wood 6 322 4 330
M_Vijay 2 38 1 38
JPR_Lamsam 1 27 0 12
BA_Westdijk 3 176 1 146
PM_Siddle 15 577 17 747
K_Kamyuka 1 9 0 12
JOA_Gordon 3 133 2 113
MS_Tshabalala 4 152 3 156
H_Patel 5 102 2 107
Sohail_Tanvir 59 2618 75 3088
Mohammad_Naveed 10 502 13 518
AP_Devcich 8 190 2 191
V_Sibanda 6 178 2 183
Aftab_Ahmed 9 113 1 94
MJ_Mason 13 516 17 608
SG_Borthwick 2 72 1 54
GB_Brent 16 666 19 845
Abdul_Razzaq 48 1489 47 1761
S_Tyagi 3 130 2 127
GR_Codrington 6 267 9 307
DR_Tuffey 17 795 22 837
Irfan_Sajid 1 23 0 30
Mohammad_Irfan 57 2496 83 3055
Alok_Kapali 11 319 9 334
Sabbir_Rahman 11 175 2 158
GD_Elliott 51 1101 35 1194
Mohammad_Hafeez 111 3528 108 5223
MW_Machan 9 223 4 226
JL_Pattinson 15 699 16 763
Khurram_Khan 7 292 6 302
KS_Lokuarachchi 2 70 1 90
Afzaal_Haider 2 123 2 81
S_Matsikenyeri 11 135 6 192
PP_Chawla 24 1060 31 1269
Aman_Ali 1 22 0 14
IS_Sodhi 9 419 9 470
Haris_Sohail 13 453 11 463
RMS_Eranga 16 664 22 701
Suhrawadi_Shuvo 17 574 17 773
TS_Nethula 5 250 5 268
MM_Patel 59 2277 83 2822
PVD_Chameera 8 328 10 302
RR_Powar 16 680 19 866
TG_Southee 81 3871 129 4370
RD_Steede 2 54 1 84
A_Martin 9 300 13 447
BRM_Taylor 10 149 1 145
CA_Ingram 1 17 0 6
SC_Ganguly 16 385 9 448
Ehsan_Nawaz 1 28 1 58
Hamid_Hassan 13 538 24 657
J_Nyumbu 18 743 19 863
Kamran_Hussain 2 70 4 103
GC_Tonge 5 229 6 307
PJ_Ongondo 17 631 27 818
Adeel_Raja 4 162 0 144
AD_Mathews 131 3483 113 4446
E_Schiferli 3 92 3 120
MJG_Rippon 3 68 4 92
A_Mithun 5 210 3 188
Junaid_Khan 47 2019 72 2291
MDK_Perera 3 81 2 97
C_de_Grandhomme 1 10 0 7
MA_Carberry 1 12 0 6
KJ_Coetzer 4 118 0 114
Mominul_Haque 11 175 8 217
GS_Sandhu 2 108 3 123
TL_Best 13 673 21 756
Enamul_Haque_jnr 7 297 11 398
J_Blackwood 1 16 0 18
GH_Worker 1 5 0 6
EC_Rainsford 14 518 10 667
MN_Samuels 73 2278 47 2868
MK_Tiwary 6 150 5 136
M_Shezi 1 8 1 37
Iftikhar_Anjum 41 1704 62 2044
Dawlat_Ahmadzai 1 40 1 36
Bilawal_Bhatti 10 448 7 420
DJ_Cullen 1 36 0 40
D_Bishoo 13 478 20 672
SI_Mahmood 21 980 34 1068
TA_Boult 31 1360 58 1723
TC_Bastiampillai 1 12 0 6
Mehrab_Hossain_jnr 6 155 3 188
MR_Gillespie 25 1190 30 1297
Saeed_Ajmal 107 4109 181 5842
JD_Nel 7 246 1 252
AW_Mathieson 1 40 1 25
MS_Gony 2 78 2 81
RJW_Topley 10 420 17 483
Mohammad_Rafique 23 866 26 1233
S_Chanderpaul 1 20 0 24
NB_Mahwire 2 61 0 64
DA_Warner 1 8 0 6
Asif_Iqbal_(1) 1 33 0 24
GH_O'Brien 1 32 3 62
TAM_Siriwardana 9 238 8 255
WF_Stelling 3 106 6 163
AJ_Hall 18 647 29 896
Abdur_Rauf 4 217 8 224
Irfan_Ahmed 3 145 4 154
AT_Rayudu 7 115 3 111
SR_Tendulkar 29 580 9 602
RK_Kleinveldt 9 415 12 481
AD_Mascarenhas 18 634 13 811
KED_Carroll 1 8 0 6
BCJ_Cutting 4 160 5 220
RM_West 2 64 1 113
CD_Collymore 16 583 17 845
Mustafizur_Rahman 9 337 26 463
MM_Ali 35 1467 40 1779
T_Mupariwa 18 784 23 894
T_Panyangara 37 1912 41 2020
A_van_der_Merwe 3 79 2 126
Tanvir_Ahmed 1 45 1 37
Younis_Khan 13 179 1 184
Wahab_Riaz 66 2968 110 3292
Hamza_Hotak 5 130 4 199
Nazmul_Hossain 16 540 19 695
HMRKB_Herath 60 2179 76 2915
Khaliq_Dad 1 29 2 36
N_M'shangwe 1 50 2 62
I_Udana 2 84 0 81
F_du_Plessis 11 191 2 197
SKW_Kelly 3 74 2 84
AD_Russell 48 2044 66 2154
CJ_Anderson 35 1268 50 1292
AN_Petersen 1 7 0 9
AC_Botha 12 392 15 535
SE_Bond 36 1490 62 2067
V_Permaul 6 246 8 313
NM_Odhiambo 1 39 2 61
JJ_Tucker 9 261 3 311
Tapash_Baisya 1 35 0 17
TJ_Heggelman 1 34 2 42
NL_McCullum 75 2752 67 3294
DL_Hemp 2 73 0 63
M_Ntini 43 1753 60 2208
Rahat_Ali 14 665 20 705
A_Flintoff 35 1315 68 1756
J_Charles 1 12 0 7
I_Wardlaw 14 679 22 718
NJ_Astle 6 73 0 82
EP_Thompson 1 43 0 26
Fawad_Ahmed 2 108 2 84
L_Balaji 1 34 0 31
Munir_Dar 2 90 1 108
Anwar_Ali 21 932 20 929
AM_Blignaut 3 42 1 80
S_Chattergoon 1 30 0 42
Imad_Wasim 6 208 7 265
BP_Nash 1 33 0 30
CR_Woakes 42 1986 59 2073
Naeem_Islam 41 1159 34 1422
Ahmed_Raza 3 125 6 157
Zahid_Shah 2 103 7 128
D_Gough 1 46 0 49
HK_Bennett 12 515 22 566
RT_Lyons 2 57 2 116
Hasti_Gul 1 48 2 56
S_Thuraisingam 2 53 2 72
FH_Edwards 25 1016 30 1124
M_Muralitharan 68 2614 120 3658
Mansoor_Amjad 1 45 1 48
J_Patraj 2 76 2 92
MMA_Jonkman 1 21 1 26
R_Dhawan 3 161 1 155
